,shop_name,rating,numbers_of_rating,price,shop_type,key_words,address,reviews
62,Java Time,4.2,2129,2,coffee shop,"Cosy, Casual, Groups","Exit 15، 604, King Abdul Aziz Road North Salahuddin District، Riyadh","['One of the best coffee placesVery suitable for reading. Usually till 8PM is calm. Prices are high, but consider the atmosphere & the quality of services.', 'Nice cozy place, lots of seating area on ground and floor above. The staff is courteous service is prompt. Definitely should try the camex', ""Good coffee and service.It's a quiet place (to work/study) in the mornings and afternoon, other times it's really really noisy in the family area.""]"
63,موش كافيه,4.3,383,0,coffee shop,"Cosy, Casual","Ath Thumamah Road, Al Yasmin, Riyadh 13322","['the best Ice pistachio latte you will try it ever it’s deserve to come again and again for it', 'Iced pistachio latte was nice and their prices are reasonable', 'Pistachio with double shot of espresso = best cold drink ever.']"
64,واينز كوفي,4.3,44,0,coffee shop,"Cosy, Casual","مكة المكرمة الفرعي، المعذر الشمالي، Al Mathar Ash Shamali, Riyadh 12713","[""Their coffee used to be good, there's a noticeable drop in taste  nowadays."", 'No muffins Hard to hear from the drive thru …MoreNo muffins Hard to hear from the drive thru Not frish at all', 'I love the service in this location']"
65,Breathe Coffee®️,4.3,194,2,coffee shop,"Happy hour food, Breakfast, Outdoor seating","Al Khozamah District, Ali Ibn Abdullah Al Qudai, Riyadh","['I really enjoyed staying there. Great coffee and lovely place to work. Relaxing atmosphere and clear innovation.', 'My go to place for caffeine and quick bite.  They always get it right and the atmosphere is pretty nice as well. Just need more seating.', 'Its really good and quiet also and they have a good price for drinks and snacks its really a good and quiet cafe you guys have to try it']"
66,Manuel Cafe,3.8,332,2,coffee shop,"Cash only, Outdoor seating, Cosy","Eastern Ring Rd, Riyadh 13213","['Nice place, they know.their coffee.', 'Quite and nice decorate coffee shop with good coffee drinks and sweets', 'The worst coffee, muffin, and croissant I have ever tasted. It doesn’t deserve even one star.']"
67,مقهى عيوش,2.9,11,0,coffee shop,"Cosy, Casual, Groups","3088 التمار، أم الحمام الغربي الرياض 12328 8582 At Tamar, Umm Al Hamam Al Gharbi, Riyadh 12328 8582","[""Not good for family's"", '(Translated by Google) I do not like it(Original)لا يروق لي', '(Translated by Google) I did not visit this place unfortunately(Original)لم ازر هذا المكان للاسف']"
68,Ons Coffee أُنْس,4.3,528,1,cafe,none,"Ar Rayan, Riyadh 13312","[""The egyptian cashier is incredibly rude, he gave my coffee to someone else and when I went in to ask about it, he rudely told me to wait till after the prayer for 40 more minutes. He has such a bad attitude. I used to love this place, however, I'm not coming back again."", ""First off all, this is a snug place to stay. Feels like I'm in my hometown coffeeshop. I love the smell and the music they played. Makes me feel like I'm floating in the air with my cold coffee. Filipino staffs are cool and approachable. I …MoreFirst off all, this is a snug place to stay. Feels like I'm in my hometown coffeeshop. I love the smell and the music they played. Makes me feel like I'm floating in the air with my cold coffee. Filipino staffs are cool and approachable. I just have a concern regarding on the cashier. Next time, much appreciated if you treat everybody equal. I'm just disappointed  the way they treat other customer VS me. I know I'm not same as your nationality but I'm also a customer. Always remember ( Customers are the heart and Blood of the establishment) treat them equally regardless of their age, nationality, color etc. It's not all about the taste that matters, service is also a must. Neither the rest, Thank you for the experience. And kudos to your store. 👍"", 'Great speciality coffee. Had a cappuccino and would definitely get again.Good chilled vibes']"
69,Caribou Coffee,4.1,551,2,coffee shop,none,"شارع الأمير محمد بن عبد العزيز،, As Sulimaniyah, Riyadh 12223","[""Good place to have a cup of tea or fresh juice. The place was a little bit hot (the air conditioning was not good enough). If you are not a football fan don't visit it during important games, otherwise you'll be bothered by excited fans."", 'Nice staff and Fair drinks option . Outdoor sitting area needs renovation.  Outer Water sprinklers for hot weather are out of service most of the time 😡', 'Best place serve cappuccino and carrot cake, love it']"
70,Coyard Coffee Roasters,4.3,698,1,cafe,none,"Coyard Coffee Roasters، 7065 King Abdul Aziz Rd, Riyadh 12431","['The best flat white ever! They have great music that is suitable for mornings unlike other cafes. Staff are friendly and smiley. Would definitely come again.', 'Nice decoration and atmosphere. I like their type of coffee beans they use. I taste the cappuccino it was good. They have also low fat milk👌  honestly the dessert they don’t look delicious   but I taste the cookie ball in front of the cashier it was really delicious 😋', 'One of my favourite places for good quality coffee. They are one of the best, and the place is so quiet and good selection of music. Love the atmosphere here, good for friends gathering and study/work.']"
71,Orange Mug,4.4,416,1,coffee shop,"Cosy, Casual","King Abdullah Branch Rd, Al Quds, Riyadh 13214","['It’s a small cafe located on the king Abdullah Road, the location is perfect. I ordered an espresso which this cafe famous about, it was delicious and it might be one of the best espresso I ever taste. The decoration is nice. However, what …MoreIt’s a small cafe located on the king Abdullah Road, the location is perfect. I ordered an espresso which this cafe famous about, it was delicious and it might be one of the best espresso I ever taste. The decoration is nice. However, what I didn’t like in this cafe is the staff, when we entered, the one who work there just stayed behind the cashier and he was giving us his back even when we were talking to him!, this is disrespectful. Also the service is quite slow.', 'Cold Pistachio is really good (The best I had so far in Riyadh). I am giving them overall a 4, though, because they only have 1 size and it is on the expensive side for sure.', 'Just not good, what would people order?  latte taste starbucksy']"
72,Coffee Boutique,3.8,194,0,coffee shop,"Cosy, Casual, Groups",جسر العروبة، Riyadh 13213,"[""cozy place with nice coffee, i'll certainly come again"", 'Hidden gem, unique decor, good coffee and deserts. I specially enjoyed the date cake. Customer service is great my only suggestion is a tip jar!', 'Should wrote here only coffee for women']"
73,Plateau Cafe,3.8,215,0,coffee shop,"Late-night food, Cosy, Casual","No. 60, Riyadh 12213","['Increased the standard very much. Earlier wasnt good but it has now become a great cafe.', 'Great food/drinks, amazing service and exceptional vibes!!  Definitely recommend!!', ""Nope didn't go there but went to tuck shop next to it.""]"
74,STARBUCKS COFFEE,4.1,81,2,coffee shop,none,"Hugayat Tower, Riyadh 12214","[""It's so good"", 'Caramel Macchiato all time love', 'Normal SB, small and nothing new. Busy and crowded.']"
75,Barista Coffee,3.8,107,0,cafe,none,"HARON AL RASHED, Al Fayha, Riyadh 14253","['I am satisfied..... Nice coffee my Rating 9/10...', 'Nice Palace... Fast service', 'Just awesome.... This drinks.....']"
76,Mazagan Cafe مزغان,4.5,89,0,coffee shop,"Cosy, Casual, Good for kids","7973 Prince Muhammad Bin Abdulaziz Rd, 2451, Riyadh 12222 7973","['The place exudes ambience of sophistication. Very nice place to hang out. They serve hot drinks, frappe, milkshakes, juices, desserts and some hot meals. The food prices are affordable. The Filipino waiter was welcoming, attentive and courteous. I would definitely recommend this place to my friends.', 'Fresh, beautiful food. Staff are lovely and helpful. You MUST visit!', 'If your seeking an enchanting experience, want to refresh your memories from your favorite hot spots in London, New York, Tokyo, Barcelona, Shanghai, Mediterranean Islands, Bosphorus, Miami and...then you should invite yourself and friends to sumptuous paella and carafe of refreshing ginger peach thyme smash. Guten/bona appetite.']"
77,STARBUCKS,4.0,615,2,coffee shop,none,"IBDAA Tower, King Fahd Rd, الفرعي،، Riyadh 12313","['I like it since the staff are good and know my order and my time. They usually prepare it to me to take it when I arrive', 'Good coffee of course But staff not that friendlyFamily section is much Smaller than the individual section', 'Very good coffee and friendly staff especially KAMAL he’s the best']"
78,Caribou Coffee,4.2,230,2,coffee shop,none,"King Abdul Aziz Rd, Riyadh 12272","['My first time since long time in this coffee chain. I tried their tea and it was 11 SAR and very potent tea .... good choice.', 'Turtle mocha is my favorite all the time', 'I just love their black coffee. Am addicted to it. I usually buy whole bean coffee, and I grind it at home for everyday perfect fresh of coffee.']"
79,Caribou Coffee,4.0,1454,2,coffee shop,none,"6927 Eastern Ring Branch Rd, Al Quds, Riyadh 13214 2662","['I love the fact that they provide honey if you are not a fan of processed sugar.', 'Nice setting good service. Not too crowded.', 'Clean with good vibes and great atmosphere. Great selections of coffee and snacks.']"
80,Tutti Cafe Al-Tahliya St - توتي كافيه شارع التحليه1,4.0,1,0,coffee shop,"Breakfast, Outdoor seating, Cosy","2353 طريق الأمير محمد بن عبدالعزيز،, 2353 Prince Muhammad Bin Abdulaziz Rd, Riyadh 12222 7924",['(Translated by Google) Great place and Hadi comfortable sessions hot drinks normal and eating have beautiful and menu prices are average there are open sessions and meetings parachine Bchoshin face and they have places to hold concerts …More(Translated by Google) Great place and Hadi comfortable sessions hot drinks normal and eating have beautiful and menu prices are average there are open sessions and meetings parachine Bchoshin face and they have places to hold concerts(Original)مكان رائع وهادي جلساته مريحه المشروبات الساخنه عاديه  والاكل عندهم جميل وأسعار قائمة الطعام  متوسطه يوجد جلسات مفتوحه وجلسات بارتشن بشوشين الوجه ويوجد لديهم أماكن لإقامة الحفلات']
81,Caribou Coffee,4.2,350,2,coffee shop,none,"Ath Thumamah Road, Riyadh 13323","['The place is cozy (as is the case with most of the Caribou Coffee locations) It is quite hot inside though, so bear that in mind', 'Good for studying haha', 'My place and AMAZING stuff']"
82,STARBUCKS,4.2,618,2,coffee shop,none,شارع التخصصي الفرعي،المعذر، Riyadh 12714,"['Great branch. Doesn’t have a walk in for single men though. Only family walk in is there. Which makes the drive thru line very very long that it blocks off the rest of the parking lot. Hope they can fix that as soon as possible. Otherwise a great branch. Not a big fan of starbucks tho.', ""Matcha frappe's taste has no consistency at all... sometimes its sweet, sometimes it's super sweet n sometimes it's like bitter taste...once I got d chance to experience the perfect matcha flavoured frappe."", 'Always great.  Better than 90% Starbucks in the kingdom regards to coffee making']"
83,Starbucks,4.1,736,2,coffee shop,none,"Olaya St, Riyadh 12214","['The usual, standard service and same old products which are good quality 👍yet they always could improve on a local level and regional such as promotions and custom products designed for this region and so on and so forth............................... Have a good coffee ☕ day   ', 'Typical starbucks although this has a large open air terrace and is centred ‘downtown’ I do not understand why the air conditioning is always so cold! Seems to be a popular meeting place for single guys rather than families', 'Loved it! Customer service is great at this branch']"
84,dr.CAFE COFFEE,4.1,181,2,coffee shop,"Cosy, Casual, Groups","Abdullah Alsahmi St, Kindi Plaza, Diplomatic Quarters، Riyadh","['I just simply love their cuppachino', 'Great coffee and very helpful staff', 'Very small as compared to other Dr. Cafe . Sitting is very good and quite. Bit expensive.']"
85,Non-Stop Truck,5.0,2,0,coffee shop,none,"Ar Raid, Riyadh 12351","['(Translated by Google) Clean and eating very very tasty and brushes(Original) …More(Translated by Google) Clean and eating very very tasty and brushes(Original)نظيف والاكل جداً جداً لذيذ وفرش', nan]"
86,Caribou Coffee,4.3,161,2,coffee shop,none,عبدالملك بن مروان، العليا،، Riyadh 12611,"['Try the cold Mocha, I liked it. Moreover the branch is less visited and you can always enjoy a quiet environment. With a quiet room and a table chair set up, a good place to meet for studies or an official meetings. The people working serve …MoreTry the cold Mocha, I liked it. Moreover the branch is less visited and you can always enjoy a quiet environment. With a quiet room and a table chair set up, a good place to meet for studies or an official meetings. The people working serve with a smile. Cons. Construction on the Olaya Road makes it painful to reach. But that silent atmosphere is worth the ride.', 'A nice peaceful and quiet place to sit and chat with friends. Outside seating is also available and is comfortable to sit outside at night.', 'Very nice place around the area, you can pay with credit card or cash, I took a cold brew and was tasteful. Will get back for sure.']"
87,STARBUCKS COFFEE,4.1,418,2,coffee shop,none,"Al-Thumamah Valley St, Al Nimer Centre، Riyadh 12214","[""My stomach hurts, you served me spoiled donut..the server gave a little cream on frappuccino, he said he has no more cream, it was past 2pm only,... just look at the pictures of the donut, when I complained they insisted on replacing it...Nooo!in the first place why did you serve it? it's 3 to 4 days old donut"", ""I quite like their cappuccinos and frapuccinos.  Some of their desserts are really tasty. Right now they have a new bun with chocolate and nuts that is super delicious. I don't think I've ever tried their savory sandwiches or salads yet. Their sitting areas are also very comfortable."", 'Its a brand. Obviously good']"
88,STARBUCKS (Drive Thru),4.1,718,2,coffee shop,none,"Al Urubah Road, Near Hyperpanda, Umm Al Hamam Al Gharbi، Umm Al Hamam Al Gharbi, Riyadh 12326","['The drive-thru is good and fast but I always receive my coffee without flavor. I order a white chocolate mocha everyday and the short Egyptian man never puts the white chocolate mocha sauce. If I wanted a Latte I would order one. The coffee is NOT DRINKABLE. And if you are in the store (not drive-thru) they are very slow.', 'Starbucks is Starbucks everywhere but here is expensive : frappuccino = 7 euro', 'We need more drive thru in Riyadh though, I had to pass a couple of other Starbucks to reach this one']"
89,North Coffee,3.6,755,0,coffee shop,"Cosy, Casual, Groups","Al Aqilah, Riyadh 13515","['Their latte is very good that it is arguably the best in Riyadh. The cake is so good and tasty. The atmosphere inside is nice and not very loud. They have nice seating area outdoors for the nice weather season. Definitely will come again...', 'Spanish latte is less than average. Pistachio latte is okay. Honey cake and chocolate cake are are not worth trying at all. Music is the worst.', 'I like the place the coffee the sweets every thing and the most important is very quiet there. You can read a book or listen to the music...']"
90,Gloria Jean's Coffees,3.9,301,2,coffee shop,none,"Abi Bakr As Siddiq Branch Rd, Riyadh 13316","['Great coffee taste, they have a very small tables in the outdoor area and they don’t cleanup at all until you leave, even if you buy two-three orders. …MoreGreat coffee taste, they have a very small tables in the outdoor area and they don’t cleanup at all until you leave, even if you buy two-three orders. However I still find my self coming more and more to this shop! Highly recommended! One of my favorite coffee shops in Riyadh .', 'One of my favourite coffee in Riyadh...very helpful staff....', 'Nice staff, great cafe but limited choices']"
91,STARBUCKS,4.1,1315,2,coffee shop,none,"Al Urubah Road, Near Al Urubah Square الرياض","[""Might be one of da most crowded Starbucks cafe in Riyadh 😅 But still u can get in n out in a jiff 😁 The staff's pretty polite too ...   "", ""The coffee is always good. However, the staff isn't as good as other branches, they should be more lean. Also there should be a dedicated staff to clean out the tables after the customers leave."", 'Great taste. One issue with Starbucks that not all branches will have the same good taste, it depends on who prepare it.']"
92,Caffé Bene,4.0,228,2,coffee shop,"Cash only, Happy hour food, Cosy","Granada Mall, Ash Shuhada, Eastern Ring Rd Shop no G139-G140, Riyadh","['It’s really good place to hangout with friends and family..coffee is average in taste.good interiors.You can enjoy coffee with streetview.outdoor seating also available.Friendly and helpful staffs.', 'One of the best coffee shops in Riyadh so far. Good place to hang out with friend and good black coffee', 'Cosy and lovely place with welcoming employees and service.']"
93,Tonino Lamborghini Cafe,3.6,66,0,coffee shop,"Cosy, Casual, Groups","Al Mathar Ash Shamali, Riyadh 12332","['You get the feeling that the place is old don’t know why , Good for families and friends,Food is beyond normal , price is reasonable.', 'I just love it', 'Very good']"
94,Half Million,3.9,3683,1,coffee shop,"Breakfast, Cosy, Casual","Prince Muhammad Bin Abdulaziz Rd, Al Olaya, Riyadh 12313","['This is my first time here, the place is clean and the staff are very friendly.The coffee choices are simple and sufficient if you really want to have coffee.Prices are within the norms of their category.The decoration of the place is simple and clean.', 'Good coffee...tried their 1/2 M special...good blend of bitter and sweet!', 'Great prices also great coffee and ice cream 😋 I advice everyone to try it 👍  ']"
95,Caribou Coffee,4.2,517,2,coffee shop,none,"Prince Nasser Bin Farhan St, Riyadh 12434","['Salted Caramel is the best to me😊 (cold of course)', 'Lovely place. Loved the coffee', 'Need lots of upgrades and an active cafe']"
96,مقهى أسطورة فنجال الكيف,5.0,1,0,coffee shop,"Cash only, Cosy, Casual","Abu Ubaydah Amir Ibn al Jarrah, Riyadh 14265",['(Translated by Google) For coffee and tea(Original)للقهوه والشاي']
97,Avindar Cafe,4.0,2200,0,coffee shop,"Cosy, Casual, Groups","Prince Sultan Bin Abdulaziz Rd, Riyadh 12221","['Welcoming staff...  nice presentation of food... green and chirpy ambience... tasteful decor... good to have a cup of coffee with friends', 'Unique in design and unique in food. Very nice place with different theames to sit in. Food is good and they have new dishes and ideas. Enjoyable 😍😍😍👌  ', 'The place is nice and clean. But today I ordered a cheese burger very simple dish and it came very cold!!!! They warmed it twice and it’s still cold??! I couldn’t eat it and I just left the place. The waiter seems new and doesn’t understand …MoreThe place is nice and clean. But today I ordered a cheese burger very simple dish and it came very cold!!!! They warmed it twice and it’s still cold??! I couldn’t eat it and I just left the place. The waiter seems new and doesn’t understand the order so I had to repeat it couple of times. For me I won’t go again and I won’t recommend it if ur going for a good food. If u wanna go for a coffee only, maybe some desert ... ya I might enjoy the decoration and the view.']"
98,Vergnano,4.0,92,0,coffee shop,"Cosy, Casual, Groups","Prince Muhammad Bin Abdulaziz Rd, Al Olaya, Riyadh 12222","['Only best coffee and capuccino', ""Excellent espresso shot. Friendly careful staff.Good haunt for writing a paper...Most wall electrical plug-in's DON'T work   "", 'Good coffee']"
99,STARBUCKS COFFEE,4.2,753,2,coffee shop,none,"Tamimi Dabab, Ibn Al Thahabi St, As Sulimaniyah, Riyadh 12223","['friendly staff and decent access to the locaiton with ample parking.bathrooms need more attention as they are usually not very well cleaned and stocked.', 'I love Starbucks. Green Matcha Cream is a favorite. The store is big and spacious. Ambience is very nice. Attentive staff and friendly.', 'Good ambiance, friendly staff...']"
100,STARBUCKS,4.0,286,2,coffee shop,none,برج الفيصلية -طريق العليا - حي الاميرية، Riyadh 12212,"[""I really love this place. It's comfy and crowdy at the same time. The place is clean and spacious. The staff are super friendly and they try to serve with the best they can. What to order?? Well, it's Starbucks my dear :)"", 'The S’mores Frappuccino at @starbucksmiddleeast is literally the best item on the menu!  10/10⭐️. The chocolate marble cake was also a hit!  The chocolate syrup and coffee are a match made in coffee heaven 😍', 'Best coffee shop in the KSA']"
101,STARBUCKS COFFEE,4.0,39,2,coffee shop,none,"Kind Fahd branch Rd, Level 2, Ladies Floor,Shop N:2، Kingdom Centre، Riyadh","[""A great place if you are getting ur evening cup of espresso 💚💚💚 but it's located in the Kingdom Tower so u can get some coffee while ur shopping (I was thinking, where did Starbucks get it's name from     )"", 'The service is horrible and they’re so rude. They’re drinks are not good either.', 'one of the beat starbucks branches']"
102,Starbucks,4.1,255,2,coffee shop,none,"3140 Prince Sultan Bin Abdulaziz Rd, As Sulimaniyah, Riyadh 12222","['In this place every time the same thing. Very dirty. You have to ask them to clean the table after someone. …MoreIn this place every time the same thing. Very dirty. You have to ask them to clean the table after someone. Tables are always sticky. Disrespectful attitude  from this branch. Manager is walking around and it is fine for him. He doesn’t care.', 'Great place to have coffee and they have indoor dining as well as outdoor seats . Its a cozy  and a great place to go alone and with friends. This is usually popular amoung youths and teens mostly university students. Ambient place to have …MoreGreat place to have coffee and they have indoor dining as well as outdoor seats . Its a cozy  and a great place to go alone and with friends. This is usually popular amoung youths and teens mostly university students. Ambient place to have a sip of hot/cold coffee along with your work done. The staffs are cool and friendly people and the lounge area is maintained pretty good also they have quiet a good selection of starbucks merchendised goods for sale too. A piece of memory that you can take home with you .', 'Its been a week this branch is out of sugar free vanilla syrup. No ashtrays for outdoor seating. Dusty chairs and tables in the outdoor area. Parking is hectic.']"
103,Tutti Cafe,4.1,925,2,coffee shop,"Late-night food, Cosy, Casual","Takhassusi St, Riyadh 12333","['Best french coffee, and ask for your Patchi free chocolate with your hot drink', 'Good placeWifi available Toilet available …MoreGood placeWifi available Toilet availableNo families section Prices are so reasonable', 'Italian coffee 👌   ( very very sweet )']"
104,Tim Hortons,4.1,830,2,coffee shop,none,"3478 Makkah Al Mukarramah Branch Rd, As Sulimaniyah, Riyadh 12231","['Nice place for sancks and coffee.                                                                           Friendly staff.                                                                                    Good seating area. …MoreNice place for sancks and coffee.                                                                           Friendly staff.                                                                                    Good seating area.                                                                          Separate queues for women.                                                         Separate seating area for families and women available.            Parking area also available.                                                           New offers available every time.                                                        Outside seating also available.                                                        Little bit busy cafe though                                                              wait of minimum 5 min                                                                     variation in menu is nice.                                                                 Less options for vegetarians tough.                                                Takeaway option also available here.                                          Confectionery also available.                                                          You can also buy coffee beans and powder here.                      They have coffee mugs with brand name printed for selling purpose.', 'Nothing special! I just love coffee but TH in Sulimaniyah in front of PSMMC is crowded as the Staff really needed coffee esp in the morning to wake up the nerves and a place to sit in after a long day at work.  However, people who loves …MoreNothing special! I just love coffee but TH in Sulimaniyah in front of PSMMC is crowded as the Staff really needed coffee esp in the morning to wake up the nerves and a place to sit in after a long day at work.  However, people who loves this winter weather wanna stay outside and chill vibes while waiting for their coffee or appointments of the day!', 'One of my favourite cafe , Try the French vanilla with espresso shot']"
105,Hi Coffee,,0,0,coffee shop,"Cosy, Casual, Groups","4184 Prince Muhammad Bin Abdulaziz Rd, As Sulimaniyah, Riyadh 12242 6664",[]
106,Soul cafe,4.6,7,0,coffee shop,"Cosy, Casual, Groups",Riyadh 12244,"['Friendly .. great cold coffee in this hot weather', '7/10', '(Translated by Google) loved it(Original)أحببته']"
107,Starbucks,4.2,290,2,coffee shop,none,7607 مركز بستان التخصصي،، Riyadh,"['Three tables only for smoking. Overall nice place to have coffee', 'Cosy, quiet, busy and the coffee served is the Americano that am used to in the UK. Testament to the good work these guys put in. Would definitely be back for more of the great coffee and atmosphere at this branch.', 'A great place for a quiet read, a coffee and a slice of cake.']"
108,STARBUCKS COFFEE,3.9,246,2,coffee shop,none,"Rodh Al Jawa, Hayat Mall، Riyadh 12272","['All time favourite❤️', '😍', 'All time favourite. Yummy got chocolate can have it every day']"
109,Corsini Cafe,3.9,105,2,cafe,"Cosy, Casual, Groups",Riyadh 12244,"['Good and very silent place to enjoy coffee and snacks..!', 'Great coffee and best staff...', 'Pros.- Large, spacious, variety of seating - Polite staff …MorePros.- Large, spacious, variety of seating - Polite staff- Good sandwiches- Location and parkingsCons.- Very very bad coffee- Poor dessert- Pricey']"
110,Starbucks,3.9,980,2,coffee shop,none,Silver Plaza، Riyadh,"['State of art coffee with so many options that make to choose between.Prices are moderate,Overall service is good and fast. …MoreState of art coffee with so many options that make to choose between.Prices are moderate,Overall service is good and fast.This place in particular, lies in the ground floor of Atyaf mall, has a nice setting area for both families and singles.', 'I love this place because of their nice barista and the flat white was good too', 'very good ...especially their coffee...']"
111,dr.CAFE COFFEE,3.8,172,2,coffee shop,"Cosy, Casual, Groups","King Fahd Medical City, OPD, Ground Floor، Riyadh 12231","[""Pretty good window branch that offers almost the whole usual menu. It's located inside the outpatient clinics immediately right after the entrance"", 'Cool spot but slow drive through service', 'Good  taste']"
112,Balcony Cafe,3.7,1647,2,coffee shop,"Cash only, Happy hour food, Late-night food","Dammam Rd, Al Yarmuk, Riyadh 13251","['I tried more than one drink and more than one kind of sweet, and they all were terrible! Wouldn’t suggest the place if you care about the taste. Although the balcony seatings are great, and the service is good.', 'This is a amazing place,Very very very good experience  of staff & food is test fully 😍😍 love it,', 'We went to Balcony Cafe yesterday ( 7th Dec 2019 ) for BreakFast! It was a fabulous experience, the prices may be a bit high but it is worth trying especially when it is nice pleasant weather - you would enjoy their beautiful balcony scene ! the food was not only well presented but also delicious in taste <3']"
113,STARBUCKS COFFEE,3.9,1078,2,coffee shop,none,"Exit 10، Al Hamra, King Abdullah Road، Riyadh","['Starbucks.. can nit say more.. just the best there is!!', 'ONE WORD REVIEW = BRILLIANT                        GREAT STAFF (FRIENDLY) NICE ATMOSPHERE ....BEST PLACE FOR GROUPS', ""Yeah this place is typical Starbucks. Has family section and men's section. There are so many ppl lined up for app based deliveries. It's pretty wack""]"
114,Cinnabon سينابون,3.6,49,2,coffee shop,none,"Al Imam Ash Shafii, Al Fayha, Riyadh 14253","['Staff were very accommodating.Great atmosphere..nice presentation of food!', 'Delicious and will visit again.', 'As always, yummiest cinnabon ever!']"
115,Starbucks,4.0,977,2,coffee shop,none,"Said Ibn Zayd Rd, Ibdaa Plaza, Riyadh","['Shop is having parking spaces and a drive-thru. Inside the shop are few table and chairs only. Customer service is just below normal, for me. We got served for a slightly hardened cheesecake (we all know the ideal one) which I think the waiter could have realized that. The shop is good for takeaway orders, better.', 'Great staff, ambience and the same quality Starbucks coffee', 'Fast ,friendly and experience staff .']"
116,dr.CAFE COFFEE,4.3,8,0,coffee shop,"Cosy, Casual",Jawwal Building Building no. 41 Saudi Telecom Company، Riyadh,"['in terms of taste, it is among the best coffee houses in riyadh but if the staff is not happy, they will not give good service, same happen here. the management is very bad with staff, the staff is bad with the customer. need to replace middle and top management.', 'Nice place to have chate with friend', 'one of best cafe place in KSA']"
117,مقهى قهوة وحلا,3.5,472,2,coffee shop,"Happy hour food, Cosy, Vegetarian options","3980 Kharis Branch Rd, AR Rawdah, Riyadh 13211","['Is expensive the food For be sandwiches or some drinks only but the place Is nice, quiet and free For women', 'Nice place, everything is absolutely good.', 'We had a party there in the vip room, the food was good and the place is nice. Hoped they were more flexible on the time.']"
118,ارابيكا,3.7,53,0,coffee shop,"Cosy, Casual","Abu Ubaydah Amir Ibn al Jarrah, As Saadah, Riyadh 14258","['Good communication is just as stimulating as black\xa0coffee, and just as hard to sleep after. ...', 'Good', 'Good coffee shop']"
119,STARBUCKS COFFEE,4.0,1033,2,coffee shop,"Late-night food, Breakfast, Cosy","Northern Ring Rd, Jarir Book Store، Riyadh","['They have the best Doubleshot iced shaken, I would recommend white mocha flavor', ""Just another Starbucks Coffee, the only difference? It's inside Habib Hospital. If you got friends in there make sure to buy it with them. They get around 10-15% discount so... yeah use it."", 'This Place like your motherThe good lady that make you feel happy and safe']"
120,dr.CAFE COFFEE,3.5,16,2,coffee shop,"Cosy, Casual","King Saud University, Riyadh 12372","['(Translated by Google) Coffee has the most beautiful types of coffee(Original) …More(Translated by Google) Coffee has the most beautiful types of coffee(Original)قهوة عندهم رهييبة افضل انواع البن', '(Translated by Google) Nice(Original)جميل', '(Translated by Google) Everything is sweet and lacks special chairs in kufi(Original) …More(Translated by Google) Everything is sweet and lacks special chairs in kufi(Original)كل شي حلو وينقصه كراسي خاصة بالكوفي']"
121,Starbucks,4.0,1396,2,coffee shop,none,"Prince Muhammad Ibn Abdulaziz Rd, As Sulimaniyah, Riyadh 12223","['Me and my friends were looking for place to have a decaf coffee and some bring-in desert in Tahlia st. This place welcomed us with a great coffee and smile. They gave us the plates to use for our desert. Thanks to the person who was at the cashier, he was great. Salamat', 'cappuccino with coconut milk and chocolate fudge cake ❤️', 'Excellent coffee and customer service. Good place to hang out with friends and family.']"
122,STARBUCKS COFFEE,4.0,286,2,coffee shop,none,"Sahara Mall، King Abdul Aziz Branch Rd, Riyadh 12272","[""All time favourite❤️👍   It's awesome coffee shop.. I think in all the  world."", 'Star bucks coffee is too good', ""It's awesome coffee shop.. I think all world.""]"
123,Moonlight Cafe,3.9,84,0,coffee shop,"Cosy, Casual, Groups",مخرج ١٥، حي الروابي، 7535 5502 طريق سعد بن عبدالرحمن الأول الفرعي مركز سكاي مول، Riyadh 14216,"['A nice place with good service.', 'Great', 'Nice ']"
124,RECIPE Cafe,4.0,937,2,cafe,"Cosy, Casual, Groups","King Abdul Aziz Rd, Riyadh 13315","['Great variety specialty coffees and one of the few places that serve decaf in Riyadh; downside the seating area upstairs', ""The coffee is greatAnd the place is quite for studying or workingI would give it 8/10 …MoreThe coffee is greatAnd the place is quite for studying or workingI would give it 8/10And I'm definitely going to visit them again"", 'Quite cafe , came here to study , average to good coffee.']"
125,Mamma Bunz cafe,4.0,329,2,coffee shop,"Cosy, Casual, Groups","Prince Muhammad Bin Abdulaziz Rd, Riyadh 12222","['my go to food when i want to relax and sit in the mall with my kids...although each plain bunz cost 13 sr... its stillso good.. too good... and the mamabunz coffee...', ""We like the butter filled buns, they're quite tasty. When we go to the cafe, we buy the multi bun deal. I think it's 10 buns which is obviously cheaper than buying individual single buns. Multi item deals always seem to work out cheaper, so …MoreWe like the butter filled buns, they're quite tasty. When we go to the cafe, we buy the multi bun deal. I think it's 10 buns which is obviously cheaper than buying individual single buns. Multi item deals always seem to work out cheaper, so you can save money if you want to buy a lot of buns.They're nice when they're warm ..."", ""The environment is great. But the cappuccino tasted very bad, and I didn't like their dessert.""]"
126,قهوة رسم ( مختصة ),4.1,554,2,coffee shop,"Outdoor seating, Cosy, Casual","Al Tahliyah St, Riyadh 13515","['Decent coffee and beans, dessert are bad The vibe is fine needs more artwork walls are emptyPlace has an indoor smoking area 👍  ', 'Great coffee, good prices, good interior,Indoor Smoking room👍  .The Bathroom needs a remake', 'Very good coffee shop with decent blend of coffee , it has multiple brand of coffee on the shelf']"
